"endpoint","status","ok","rootKind","topKeys","detail"
"/api/alliances/my","200","True","object","alliance","alliance{}:id;name;tag;description;leaderId;memberCount;maxMembers;isRecruiting;iconKey;chatLanguage;disbandRequestedAt;disbandScheduledAt;disbandRequestedBy;vulnerabilityWindowStartMinute;pendingVulnerabilityWindowStartMinute;pendingVulnerabilityEffectiveAt;vulnerabilityWindowChangedAt;stationCaptureBlockedUntil;allyPactCooldownUntil;createdAt;members;scores;diplomacy;territories;stationCapture |"
"/api/alliance-trade/orders?page=1&limit=25","200","True","object","orders,pagination","orders[]:id;userId;username;planetId;planetName;planetPosition;orderType;offerResource;offerAmount;offerArtifactId;offerArtifactName;offerArtifactTier;requestResource;requestAmount;status;expiresAt;createdAt;systemX;systemY;systemName;armName;sectorIndex;securityZone | pagination{}:total;limit;offset;hasMore |"
"/api/auth/me","200","True","object","user,planets","user{}:id;username;email;race;leaderType;activeLeaderBonuses;diplomatDoctrine;pendingDoctrine;doctrineActiveAt;genesisCode;precursorFragments;createdAt;lastLoginAt;starterBoostUntil;isAdmin;commandCenterActive;commandCenterExpiresAt;preferredLanguage;lastLeaderChangeAt;privateMessagesMutedUntil;privateMessagesMuteReason;vacationStartedAt;vacationUntil;vacationMinUntil;vacationNextAvailableAt;profileDeletionRequestedAt;profileDeletionScheduledAt;leaderChangeUses;traderSummonUses;steamId;steamAvatarUrl;marketingEmailsOptIn | planets[]:id;name;systemId;position;planetType;isHomeworld;systemName;colonizedAt;systemX;systemY;securityZone |"
"/api/command-center/fleet-templates","200","True","array","0,1,2,3,4","id,name,templateType,composition,createdAt"
"/api/fleet/camp-scout-reports?page=1&limit=20","200","True","object","reports","reports[]:<empty> |"
"/api/fleet/expedition-reports?page=1&limit=20","200","True","object","reports,unreadCount","reports[]:<empty> |"
"/api/fleet/mining-reports?page=1&limit=20","200","True","object","reports,unreadCount","reports[]:id;missionId;planetId;reportType;resourcesDelivered;cargoStolen;shipsLost;pirateFleet;combatOutcome;combatLog;locationName;isRead;createdAt;planetName;fleetComposition;miningCargoCapacityTotal;cycleCount;drillBreakdowns;isSaved |"
"/api/fleet/missions","200","True","object","missions,maxFleetSlots","missions[]:id;userId;sourcePlanetId;sourceMoonId;sourceOutpostId;sourceStationId;targetPlanetId;targetMoonId;targetFieldId;targetFleetMissionId;targetStationId;targetSectorId;missionType;status;fleetComposition;hangarAssignments;distance;speed;travelTime;cargo;departsAt;arrivesAt;returnDepartsAt;returnArrivesAt;createdAt;sourcePlanetName;targetPlanetName;targetFieldType;sourceSystemId;targetSystemId;sourceSystemName;targetSystemName;raidParams;patrolCoverage;patrolMode;patrolCapacityUsed;isProbeFleet;miningEfficiencyPercent;leadershipVessel |"
"/api/fleet/pirate-camps","200","True","object","camps","camps[]:<empty> |"
"/api/fleet/pirate-reports?page=1&limit=20","200","True","object","reports,unreadCount","reports[]:<empty> |"
